Year,Value_mm,Flag1,Flag2
1979.7083,792,1,0
1979.7917,833,5,0
1979.875,751,6,0
1979.9583,701,0,0
1980.0417,698,3,0
1980.125,703,6,0
1980.2083,658,1,0
1980.2917,720,0,0
1980.375,736,0,0
1980.4583,737,1,0
1980.5417,732,0,0
1980.625,755,0,0
1980.7083,794,0,0
1980.7917,790,1,0
1980.875,810,0,0
1980.9583,748,1,0
1981.0417,752,0,0
1981.125,678,1,0
1981.2083,741,4,0
1981.2917,756,2,0
1981.375,774,3,0
1981.4583,744,1,0
1981.5417,726,0,0
1981.625,780,0,0
1981.7083,794,2,0
1981.7917,819,2,0
1981.875,832,9,0
1981.9583,717,1,0
1982.0417,691,4,0
1982.125,708,1,0
1982.2083,694,3,0
1982.2917,702,6,0
1982.375,726,2,0
1982.4583,759,0,0
1982.5417,731,0,0
1982.625,738,0,0
1982.7083,808,0,0
1982.7917,823,3,0
1982.875,716,0,0
1982.9583,761,0,0
1983.0417,913,8,0
1983.125,688,4,0
1983.2083,771,1,0
1983.2917,748,0,0
1983.375,756,0,0
1983.4583,740,2,0
1983.5417,767,0,0
1983.625,752,0,0
1983.7083,733,0,0
1983.7917,759,1,0
1983.875,726,0,0
1983.9583,693,1,0
1984.0417,709,4,0
1984.125,670,0,0
1984.2083,665,1,0
1984.2917,647,2,0
1984.375,691,0,0
1984.4583,746,4,0
1984.5417,765,0,0
1984.625,741,0,0
1984.7083,773,9,0
1984.7917,878,2,0
1984.875,826,7,0
1984.9583,662,5,0
1985.0417,673,1,0
1985.125,755,5,0
1985.2917,684,0,0
1985.375,732,0,0
1985.4583,743,3,0
1985.5417,754,0,0
1985.625,756,0,0
1985.7083,834,2,0
1985.7917,840,4,0
1985.875,746,0,0
1985.9583,685,1,0
1986.0417,728,7,0
1986.125,720,1,0
1986.2083,790,6,0
1986.2917,726,9,0
1986.375,845,5,0
1986.4583,820,10,0
1986.5417,761,6,0
1986.625,737,4,0
1986.7083,839,1,0
1986.7917,864,2,0
1986.875,810,0,0
1986.9583,715,0,0
1987.0417,775,10,0
1987.2083,733,6,0
1987.2917,810,6,0
1987.4583,761,7,0
1987.5417,792,7,0
1987.625,848,4,0
1987.7083,846,2,0
1987.7917,839,7,0
1987.875,859,10,0
1988.0417,686,10,0
1988.125,780,3,0
1988.2083,694,2,0
1988.2917,698,0,0
1988.375,735,2,0
1988.4583,781,2,0
1988.5417,774,4,0
1988.625,799,3,0
1988.7083,749,2,0
1988.7917,873,4,0
1988.875,805,4,0
1988.9583,701,4,0
1989.0417,682,8,0
1989.125,730,11,0
1989.7083,863,4,0
1989.7917,850,2,0
1989.875,822,5,0
1989.9583,758,10,0
1990.0417,725,5,0
1990.125,675,2,0
1990.2083,732,6,0
1990.2917,730,5,0
1990.375,792,9,0
1990.4583,790,12,0
1990.625,797,9,0
1990.7083,848,12,0
1991.0417,682,0,0
1991.2917,900,0,0
1991.375,787,0,0
1991.4583,755,0,0
1991.5417,719,0,0
1991.625,819,0,0
1991.7083,890,0,0
1991.7917,885,0,0
1991.875,807,0,0
1991.9583,580,0,0
1992.0417,640,0,0
1992.125,767,0,0
1992.2083,756,0,0
1992.2917,788,0,0
1992.375,825,0,0
1992.4583,840,0,0
1992.5417,784,0,0
1992.625,862,0,0
1992.7083,908,0,0
1992.7917,874,0,0
1992.875,832,0,0
1992.9583,781,0,0
1993.125,1183,0,0
1993.2083,1165,0,0
1993.2917,1177,0,0
1993.375,1208,0,0
1993.4583,1158,0,0
1993.5417,1177,0,0
