date,obs_ma,p05,p25,p75,p95
1998-06-01,0.10730356486360641,-0.343954723014722,-0.11832557907555781,0.33293270880277065,0.5585618527419348
1998-07-01,0.1065420155907453,-0.34471627228758317,-0.11908712834841892,0.3321711595299095,0.5578003034690737
1998-08-01,0.10592740401471756,-0.3453308838636109,-0.11970173992444666,0.3315565479538818,0.557185691893046
1998-09-01,0.1054584045581746,-0.3457998833201539,-0.12017073938098963,0.3310875484973388,0.556716692436503
1998-10-01,0.10513097705646038,-0.3461273108218681,-0.12049816688270384,0.3307601209956246,0.5563892649347888
1998-11-01,0.10494080061293054,-0.3463174872653979,-0.12068834332623368,0.33056994455209476,0.556199088491259
1998-12-01,0.10488297043049188,-0.34637531744783656,-0.12074617350867234,0.3305121143696561,0.5561412583088203
1999-01-01,0.1049526338109317,-0.3463056540673968,-0.12067651012823252,0.3305817777500959,0.5562109216892601
1999-02-01,0.10514489599491714,-0.3461133918834113,-0.12048424794424709,0.3307740399340814,0.5564031838732456
1999-03-01,0.10545461980211687,-0.34580366807621155,-0.12017452413704735,0.3310837637412811,0.5567129076804453
1999-04-01,0.10587669351624203,-0.34538159436208643,-0.1197524504229222,0.33150583745540624,0.5571349813945705
1999-05-01,0.10641015342595728,-0.34484813445237117,-0.11921899051320695,0.3320392973651215,0.5576684413042857
1999-06-01,0.10705596516836852,-0.34420232270995993,-0.1185731787707957,0.33268510910753274,0.5583142530466969
1999-07-01,0.1078142039640634,-0.34344408391426506,-0.11781493997510083,0.3334433479032276,0.5590724918423918
1999-08-01,0.1086839093056757,-0.3425743785726527,-0.11694523463348852,0.33431305324483995,0.5599421971840042
1999-09-01,0.10966091510438612,-0.3415973727739423,-0.1159682288347781,0.33529005904355036,0.5609192029827146
1999-10-01,0.11073943174734867,-0.34051885613097976,-0.11488971219181555,0.3363685756865129,0.5619977196256771
1999-11-01,0.11191231450712755,-0.33934597337120087,-0.11371682943203668,0.3375414584462918,0.563170602385456
1999-12-01,0.113171872610117,-0.3380864152682114,-0.11245727132904722,0.33880101654928124,0.5644301604884454
2000-01-01,0.11451154514071206,-0.3367467427376164,-0.11111759879845216,0.34014068907987627,0.5657698330190405
2000-02-01,0.11592555023225301,-0.3353327376460754,-0.10970359370691121,0.34155469417141726,0.5671838381105815
2000-03-01,0.11741204926635784,-0.3338462386119706,-0.10821709467280638,0.34304119320552207,0.5686703371446863
2000-04-01,0.11897258449828972,-0.3322857033800387,-0.1066565594408745,0.34460172843745396,0.5702308723766182
2000-05-01,0.12061297730610418,-0.33064531057222424,-0.10501616663306004,0.34624212124526843,0.5718712651844327
2000-06-01,0.12234373261874017,-0.3289145552595883,-0.10328541132042406,0.3479728765579044,0.5736020204970687
2000-07-01,0.1241816808488828,-0.32707660702944563,-0.10144746309028142,0.34981082478804704,0.5754399687272113
2000-08-01,0.1261506675487182,-0.32510762032961027,-0.09947847639044602,0.3517798114878824,0.5774089554270466
2000-09-01,0.12827971267359062,-0.32297857520473783,-0.0973494312655736,0.35390885661275484,0.5795380005519191
2000-10-01,0.13060351466834694,-0.3206547732099815,-0.09502562927081729,0.3562326586075112,0.5818618025466754
2000-11-01,0.13316317428532723,-0.31809511359300124,-0.092465969653837,0.3587923182244914,0.5844214621636556
2000-12-01,0.13600078664161888,-0.3152575012367096,-0.08962835729754534,0.3616299305807831,0.5872590745199473
2001-01-01,0.13915563106774323,-0.31210265681058524,-0.086473512871421,0.3647847750069074,0.5904139189460716
2001-02-01,0.1426649925410709,-0.30859329533725754,-0.08296415139809332,0.3682941364802351,0.5939232804193993
2001-03-01,0.14656274412264045,-0.30469554375568797,-0.07906639981652377,0.3721918880618047,0.5978210320009689
2001-04-01,0.1508775673027868,-0.30038072057554166,-0.07475157663637741,0.376506711241951,0.6021358551811152
